Price,Close,High,Low,Open,Volume
Ticker,SPTL,SPTL,SPTL,SPTL,SPTL
Date,,,,,
2023-01-03,27.326908111572266,27.558256803378516,27.18809748444816,27.511986005986998,3557300
2023-01-04,27.66930389404297,27.826621079093115,27.539749188137137,27.789606205284517,4448800
2023-01-05,27.780351638793945,27.780351638793945,27.410194080875566,27.447208954142173,2795600
2023-01-06,28.26155662536621,28.289317338345086,27.62303375109584,27.641542069782034,4309600
2023-01-09,28.400360107421875,28.45588328791598,28.03945502158498,28.076471651947774,2540300
2023-01-10,27.983932495117188,28.17826627896355,27.863631973726676,28.11348717431468,4968400
2023-01-11,28.372600555419922,28.391108872506628,28.131997728443565,28.206029231740114,11637400
2023-01-12,28.89082145690918,28.900075615573744,28.12274393825329,28.418869955318172,4310300
2023-01-13,28.640962600708008,28.909326107743347,28.548422790849244,28.733500645516706,3134900
2023-01-17,28.47439193725586,28.62245493034444,28.36334380991437,28.372597967613668,4467200
2023-01-18,29.140676498413086,29.159184814505416,28.779773159863453,29.085153315186258,5520600
2023-01-19,28.98335838317871,29.07589819552969,28.844549547177305,29.01112085639904,4552000
2023-01-20,28.529918670654297,28.7797756644947,28.511410352951234,28.72425247643583,4195800
2023-01-23,28.428117752075195,28.53916586614829,28.372594577563593,28.381848734157174,4220300
2023-01-24,28.79827880859375,28.853801986677894,28.34483393158155,28.52991354526204,3557100
2023-01-25,28.86306381225586,28.95560364368225,28.659475830107713,28.826047173665113,2651800
2023-01-26,28.71500015258789,28.890823886851873,28.594697844880493,28.770523344194913,5775200
2023-01-27,28.659473419189453,28.696490054666253,28.49290385469484,28.511410407382915,3434200
2023-01-30,28.548423767089844,28.76126410150823,28.520661293667832,28.57618447546173,3231700
2023-01-31,28.779775619506836,28.789029778343902,28.446632961573727,28.74275898415857,4180600
2023-02-01,29.102624893188477,29.18611820215159,28.63876413267503,28.935634736285497,5418600
2023-02-02,29.121177673339844,29.380940333518485,29.065514878118833,29.288167828491233,5926500
2023-02-03,28.694421768188477,28.79647168338546,28.545986493077255,28.703699194068932,3084200
2023-02-06,28.481050491333008,28.573821224874397,28.42538592782219,28.443940782325797,2168700
2023-02-07,28.276947021484375,28.564541921116525,28.258392169349122,28.351164660537297,4336700
2023-02-08,28.388277053833008,28.41610756518399,28.119236980851806,28.286227126910724,5705600
2023-02-09,28.15634536743164,28.657314012612726,28.11923566138732,28.620206076056583,15069700
2023-02-10,27.878026962280273,28.119234735158603,27.813086748329976,28.119234735158603,5659800
2023-02-13,28.091405868530273,28.119236379285862,27.915138299295904,27.93369315279178,4423300
2023-02-14,28.017189025878906,28.212009684696643,27.794534316532538,28.072851818471364,5161700
2023-02-15,27.785255432128906,27.9986309201929,27.64609581257685,27.89658100438487,3408300
2023-02-16,27.423444747924805,27.581157460496442,27.367781958043103,27.53477209717639,6600800
2023-02-17,27.61826515197754,27.61826515197754,27.275007472190126,27.293562323959833,3378900
2023-02-21,27.10801887512207,27.321396143539904,27.089465791793348,27.275009011497698,30636600
2023-02-22,27.321395874023438,27.423444024533303,27.2657313161219,27.2657313161219,3827400
2023-02-23,27.571880340576172,27.627544900565134,27.377059689079424,27.377059689079424,4819800
2023-02-24,27.21934700012207,27.41416765180039,27.126574502875542,27.349227434574285,3511400
2023-02-27,27.29356575012207,27.414168762788375,27.228625530264193,27.312120604220972,3768100
2023-02-28,27.39561653137207,27.39561653137207,27.06163622514365,27.11729901968561,4686200
2023-03-01,27.09711456298828,27.283094099692754,27.022723103032956,27.23660010233279,3231800
2023-03-02,26.855344772338867,26.92043885875151,26.734459301980387,26.780953304356917,4609000
2023-03-03,27.45047950744629,27.45047950744629,27.134315311090802,27.227305093601107,4846000
2023-03-06,27.283100128173828,27.56206772123898,27.24590350316103,27.543471182365284,2170800
2023-03-07,27.413284301757812,27.580665564200416,27.22730650075811,27.37608945101094,4494900
2023-03-08,27.441181182861328,27.738747076999733,27.357490553430825,27.599263285826435,4676400
2023-03-09,27.524869918823242,27.63645623463267,27.33889036096418,27.3853861372452,8406900
2023-03-10,28.417564392089844,28.454761008994492,28.04560709120496,28.04560709120496,7383500
2023-03-13,28.557050704956055,29.319565456812075,28.361773769688668,29.06849359121189,9904000
2023-03-14,28.11070442199707,28.510559257035244,28.054911260299285,28.40827031589544,8535700
2023-03-15,28.66864013671875,29.040597488222065,28.464064036800064,28.79882476633677,8245000
2023-03-16,28.417564392089844,29.133583304813442,28.380369548817516,28.975501230233327,9360300
2023-03-17,28.7988224029541,29.04059510499826,28.724430938758395,28.752328402943938,5453200
2023-03-20,28.566354751586914,28.836024973475162,28.510561585332812,28.836024973475162,6349000
2023-03-21,28.315279006958008,28.44546362697037,28.212990077729767,28.380371316964187,3050400
2023-03-22,28.687232971191406,28.724427812424814,28.194388466015205,28.240884234597235,5118600
2023-03-23,28.733734130859375,28.770930754999927,28.35247760158202,28.473364856406153,6140500
2023-03-24,28.836023330688477,29.003404593547856,28.715136074786624,28.919713962118166,3816000
2023-03-27,28.240890502929688,28.575651242862516,28.231591347149244,28.426868297640677,4152800
2023-03-28,28.268787384033203,28.305984008717367,28.14790190107505,28.203695064468604,3192000
2023-03-29,28.21299171447754,28.250186562224993,28.04561046553267,28.054909620877662,4816400
2023-03-30,28.343177795410156,28.398972730341157,28.194394849526056,28.222292316991556,6942800
2023-03-31,28.71513557434082,28.770930510076674,28.398973140000884,28.47336461401604,10571100
